Star_Id,MJD,STAR V,STAR V err
test_star,0.993641204412743,-10.3376451172566,2.0
test_star,9.687055828888713,-30.894903767625724,2.0
test_star,43.02479359000807,-21.35249011989432,2.0
test_star,45.03142784533779,-29.68179718502484,2.0
test_star,48.07663655635183,-30.406518301431184,2.0
test_star,49.90048295007519,-32.90299421748964,2.0
test_star,71.87709213976541,15.162220765547584,2.0
test_star,76.15068313239891,10.532582958775453,2.0
test_star,92.89421760812272,-30.88401010077851,2.0
test_star,99.95886974194329,-14.54543920226955,2.0
